CG3242	sob	FBgn0004892	Drosophila melanogaster
CG32474	dysf	FBgn0039411	Drosophila melanogaster
CG32532	CG32532	FBgn0052532	Drosophila melanogaster
CG32575	hang	FBgn0026575	Drosophila melanogaster
CG3258	ase	FBgn0000137	Drosophila melanogaster
CG32767	CG32767	FBgn0052767	Drosophila melanogaster
CG32772	CG32772	FBgn0052772	Drosophila melanogaster
CG32788	Crg-1	FBgn0021738	Drosophila melanogaster
CG3281	CG3281	FBgn0260741	Drosophila melanogaster
CG32856	CG32856	FBgn0052856	Drosophila melanogaster
CG33133	grau	FBgn0001133	Drosophila melanogaster
CG33152	hbn	FBgn0008636	Drosophila melanogaster
CG33183	Hr3	FBgn0000448	Drosophila melanogaster
CG33196	dpy	FBgn0053196	Drosophila melanogaster
CG33213	CG33213	FBgn0053213	Drosophila melanogaster
CG33261	Trl	FBgn0013263	Drosophila melanogaster
CG33336	p53	FBgn0039044	Drosophila melanogaster
CG3340	Kr	FBgn0001325	Drosophila melanogaster
CG33473	luna	FBgn0040765	Drosophila melanogaster
CG3350	bigmax	FBgn0039509	Drosophila melanogaster
CG33557	CG33557	FBgn0053557	Drosophila melanogaster
CG3363	ocm	FBgn0266083	Drosophila melanogaster
CG3385	nvy	FBgn0005636	Drosophila melanogaster
CG3388	gsb	FBgn0001148	Drosophila melanogaster
CG33956	kay	FBgn0001297	Drosophila melanogaster
CG33976	Octbeta2R	FBgn0038063	Drosophila melanogaster
CG33980	Vsx2	FBgn0263512	Drosophila melanogaster
CG3407	CG3407	FBgn0031573	Drosophila melanogaster
CG3411	bs	FBgn0004101	Drosophila melanogaster
CG34145	RunxA	FBgn0083981	Drosophila melanogaster
CG34224	CG34224	FBgn0085253	Drosophila melanogaster
CG34340	Drgx	FBgn0085369	Drosophila melanogaster
CG34367	CG34367	FBgn0085396	Drosophila melanogaster
CG34395	nub	FBgn0085424	Drosophila melanogaster
CG34403	pan	FBgn0085432	Drosophila melanogaster
CG34421	Snoo	FBgn0085450	Drosophila melanogaster
CG3445	phol	FBgn0035997	Drosophila melanogaster
CG3497	Su(H)	FBgn0004837	Drosophila melanogaster
CG3578	bi	FBgn0000179	Drosophila melanogaster
CG3629	Dll	FBgn0000157	Drosophila melanogaster
CG3647	stc	FBgn0001978	Drosophila melanogaster
CG3668	fd59A	FBgn0004896	Drosophila melanogaster
CG3743	MTF-1	FBgn0040305	Drosophila melanogaster
CG3758	esg	FBgn0287768	Drosophila melanogaster
CG3796	ac	FBgn0000022	Drosophila melanogaster
CG3827	sc	FBgn0004170	Drosophila melanogaster
CG3830	vg	FBgn0003975	Drosophila melanogaster
CG3839	l(1)sc	FBgn0002561	Drosophila melanogaster
CG3850	sug	FBgn0033782	Drosophila melanogaster
CG3851	odd	FBgn0002985	Drosophila melanogaster
CG3858	gcm2	FBgn0019809	Drosophila melanogaster
CG3871	Six4	FBgn0027364	Drosophila melanogaster
CG3891	Nf-YA	FBgn0035993	Drosophila melanogaster
CG3935	al	FBgn0000061	Drosophila melanogaster
CG3941	pita	FBgn0034878	Drosophila melanogaster
CG3956	sna	FBgn0003448	Drosophila melanogaster
CG3978	pnr	FBgn0003117	Drosophila melanogaster
CG3992	srp	FBgn0003507	Drosophila melanogaster
CG3998	zf30C	FBgn0270924	Drosophila melanogaster
CG4029	jumu	FBgn0015396	Drosophila melanogaster
CG4059	ftz-f1	FBgn0001078	Drosophila melanogaster
CG4136	Vsx1	FBgn0263511	Drosophila melanogaster
CG4148	wek	FBgn0001990	Drosophila melanogaster
CG4158	wor	FBgn0001983	Drosophila melanogaster
CG4217	TFAM	FBgn0038805	Drosophila melanogaster
CG42267	RunxB	FBgn0259162	Drosophila melanogaster
CG42277	rn	FBgn0267337	Drosophila melanogaster
CG42281	bun	FBgn0259176	Drosophila melanogaster
CG42311	grh	FBgn0259211	Drosophila melanogaster
CG42332	Camta	FBgn0287478	Drosophila melanogaster
CG4257	Stat92E	FBgn0016917	Drosophila melanogaster
CG4272	Axud1	FBgn0261647	Drosophila melanogaster
CG42726	CG42726	FBgn0261679	Drosophila melanogaster
CG42739	gce	FBgn0261703	Drosophila melanogaster
CG42741	CG42741	FBgn0261705	Drosophila melanogaster
CG4282	CG4282	FBgn0034114	Drosophila melanogaster
CG42830	CG42830	FBgn0262017	Drosophila melanogaster
CG42865	trh	FBgn0262139	Drosophila melanogaster
CG4303	Bap60	FBgn0025463	Drosophila melanogaster
CG43122	cic	FBgn0262582	Drosophila melanogaster
CG4318	CG4318	FBgn0030455	Drosophila melanogaster
CG4328	CG4328	FBgn0036274	Drosophila melanogaster
CG43286	cnc	FBgn0262975	Drosophila melanogaster
CG43347	CG43347	FBgn0263072	Drosophila melanogaster
CG43369	Mitf	FBgn0263112	Drosophila melanogaster
CG4354	slbo	FBgn0005638	Drosophila melanogaster
CG4360	CG4360	FBgn0038787	Drosophila melanogaster
CG43689	CG43689	FBgn0263772	Drosophila melanogaster
CG4374	CG4374	FBgn0039078	Drosophila melanogaster
CG43748	Hmx	FBgn0264005	Drosophila melanogaster
CG4380	usp	FBgn0003964	Drosophila melanogaster
CG43860	ab	FBgn0264442	Drosophila melanogaster
CG43934	Hr4	FBgn0264562	Drosophila melanogaster
CG44002	CG44002	FBgn0264744	Drosophila melanogaster
CG44123	fd3F	FBgn0264954	Drosophila melanogaster
CG4413	trem	FBgn0038767	Drosophila melanogaster
CG4424	CG4424	FBgn0038765	Drosophila melanogaster
CG44246	Atf-2	FBgn0265193	Drosophila melanogaster
CG4427	cbt	FBgn0043364	Drosophila melanogaster
CG4496	CG4496	FBgn0031894	Drosophila melanogaster
CG45051	sima	FBgn0266411	Drosophila melanogaster
CG45074	Kr-h1	FBgn0266450	Drosophila melanogaster
